file, TP, TN, FP, FN
4_block_7_img_20210806_141235_455_rgb_image_cropped_cropped, 3675.000000, 63720.000000, 2455.000000, 10022.000000
4_block_8_img_20210802_134031_586_rgb_image_cropped_cropped, 3173.000000, 62956.000000, 1983.000000, 11760.000000
4_block_8_img_20210804_142122_216_rgb_image_cropped_cropped, 3367.000000, 59812.000000, 2634.000000, 14059.000000
4_block_8_img_20210806_141255_936_rgb_image_cropped_cropped, 4130.000000, 61608.000000, 2843.000000, 11291.000000
4_block_9_img_20210802_134049_003_rgb_image_cropped_cropped, 3405.000000, 59406.000000, 2052.000000, 15009.000000
4_block_9_img_20210804_142139_069_rgb_image_cropped_cropped, 3850.000000, 56782.000000, 1801.000000, 17439.000000
4_block_9_img_20210806_141314_625_rgb_image_cropped_cropped, 4130.000000, 61608.000000, 2843.000000, 11291.000000
Radiation_1_img_20210802_134122_565_rgb_image_cropped_cropped, 4804.000000, 54928.000000, 2400.000000, 17740.000000
Radiation_1_img_20210804_142212_593_rgb_image_cropped_cropped, 4813.000000, 44847.000000, 1108.000000, 29104.000000
Radiation_1_img_20210806_141345_675_rgb_image_cropped_cropped, 4219.000000, 52745.000000, 1217.000000, 21691.000000
Radiation_2_img_20210802_134150_653_rgb_image_cropped_cropped, 5148.000000, 58018.000000, 2187.000000, 14519.000000
Radiation_2_img_20210804_142239_179_rgb_image_cropped_cropped, 5245.000000, 54125.000000, 2093.000000, 18409.000000
Radiation_2_img_20210806_141409_084_rgb_image_cropped_cropped, 4469.000000, 56794.000000, 2883.000000, 15726.000000
Radiation_3_img_20210802_134219_817_rgb_image_cropped_cropped, 4211.000000, 64207.000000, 1709.000000, 9745.000000
Radiation_3_img_20210804_142300_640_rgb_image_cropped_cropped, 3764.000000, 57882.000000, 1650.000000, 16576.000000
Radiation_3_img_20210806_141428_618_rgb_image_cropped_cropped, 2074.000000, 62704.000000, 2686.000000, 12408.000000
